IBLV - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;2.915.145.373;3,010;
ABEV3;AMBEV S/A;ON;6.861.259.002;4,078;
AURE3;AUREN;ON      NM;8.583.330.205;4,119;
BBSE3;BBSEGURIDADE;ON      NM;2.880.373.393;4,495;
BRAP4;BRADESPAR;PN      N1;4.057.037.201;3,553;
BBAS3;BRASIL;ON      NM;3.082.912.555;3,797;
CXSE3;CAIXA SEGURI;ON      NM;4.813.252.463;3,205;
CCRO3;CCR SA;ON      NM;5.296.201.819;2,981;
CPLE6;COPEL;PNB     N2;7.530.877.260;3,440;
CPFE3;CPFL ENERGIA;ON      NM;2.705.187.098;4,069;
ENGI11;ENERGISA;UNT     N2;1.416.832.711;2,847;
ENEV3;ENEVA;ON      NM;4.840.599.805;3,221;
EGIE3;ENGIE BRASIL;ON      NM;2.197.710.373;4,197;
EQTL3;EQUATORIAL;ON      NM;2.140.313.345;3,208;
FLRY3;FLEURY;ON      NM;4.773.498.253;3,286;
GOAU4;GERDAU MET;PN      N1;6.629.633.443;3,157;
IGTI11;IGUATEMI S.A;UNT     N1;2.942.532.915;2,886;
ITSA4;ITAUSA;PN      N1;8.467.851.433;4,145;
ITUB4;ITAUUNIBANCO;PN      N1;2.414.678.557;3,931;
KLBN11;KLABIN S/A;UNT     N2;3.846.791.977;3,676;
RADL3;RAIADROGASIL;ON      NM;2.389.854.482;2,774;
SANB11;SANTANDER BR;UNT EDJ;2.455.864.956;3,245;
SLCE3;SLC AGRICOLA;ON      NM;4.028.081.038;3,169;
TAEE11;TAESA;UNT     N2;3.600.559.095;5,798;
VIVT3;TELEF BRASIL;ON;1.440.971.359;3,644;
TIMS3;TIM;ON      NM;3.867.088.211;3,148;
TRPL4;TRAN PAULIST;PN      N1;2.901.303.416;3,274;
VALE3;VALE;ON      NM;1.305.502.579;3,647;
Quantidade Teórica Total;;;110.385.244.317;100,000
Redutor;;;109.651.735,74936096
