IBSD - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
BBSE3;BBSEGURIDADE;ON      NM;1.281.048.661;5,173;
BBDC4;BRADESCO;PN      N1;2.725.980.827;4,986;
BRAP4;BRADESPAR;PN      N1;2.057.127.138;4,661;
BBAS3;BRASIL;ON      NM;1.690.669.429;5,387;
CXSE3;CAIXA SEGURI;ON      NM;1.432.141.213;2,467;
CMIG4;CEMIG;PN      N1;4.124.940.650;5,437;
CPLE6;COPEL;PNB     N2;3.643.889.687;4,307;
CPFE3;CPFL ENERGIA;ON      NM;1.295.112.898;5,041;
CMIN3;CSNMINERACAO;ON      N2;6.029.964.200;4,269;
EGIE3;ENGIE BRASIL;ON      NM;975.224.596;4,819;
GGBR4;GERDAU;PN      N1;2.031.115.089;4,462;
GOAU4;GERDAU MET;PN      N1;3.843.422.435;4,735;
ITSA4;ITAUSA;PN      N1;3.941.963.776;4,993;
PETR4;PETROBRAS;PN      N2;1.002.589.741;4,408;
SANB11;SANTANDER BR;UNT EDJ;1.384.234.769;4,733;
CSNA3;SID NACIONAL;ON;3.255.367.310;4,536;
TAEE11;TAESA;UNT     N2;1.352.727.556;5,636;
VIVT3;TELEF BRASIL;ON;850.871.836;5,568;
TRPL4;TRAN PAULIST;PN      N1;1.922.641.829;5,615;
VALE3;VALE;ON      NM;647.502.956;4,681;
VBBR3;VIBRA;ON      NM;1.513.626.232;4,086;
Quantidade Teórica Total;;;47.002.162.828;100,000
Redutor;;;520.514.283,01547854
