IEEX - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;ON      NM;18.700;6,717;
ALUP11;ALUPAR;UNT     N2;6.900;6,129;
AURE3;AUREN;ON      NM;18.700;5,930;
CMIG4;CEMIG;PN      N1;18.700;6,295;
COCE5;COELCE;PNA;6.800;5,578;
CPLE6;COPEL;PNB     N2;20.600;6,219;
CPFE3;CPFL ENERGIA;ON      NM;6.500;6,461;
ELET3;ELETROBRAS;ON      N1;5.100;5,874;
ENGI11;ENERGISA;UNT     N2;4.500;5,976;
ENEV3;ENEVA;ON      NM;15.700;6,903;
EGIE3;ENGIE BRASIL;ON      NM;4.800;6,058;
EQTL3;EQUATORIAL;ON      NM;6.200;6,140;
NEOE3;NEOENERGIA;ON      NM;10.800;6,353;
SRNA3;SERENA;ON      NM;25.200;6,462;
TAEE11;TAESA;UNT     N2;6.100;6,491;
TRPL4;TRAN PAULIST;PN      N1;8.600;6,414;
Quantidade Teórica Total;;;183.900;100,000
Redutor;;;36,84861823
