IFIL - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;4.836.324;0,409;
AFHI11;FII AFHI CRI;CI  ER;4.555.618;0,362;
ALZR11;FII ALIANZA;CI  ER;12.226.625;1,059;
BRCR11;FII BC FUND;CI;26.638.202;1,002;
BRCO11;FII BRESCO;CI;15.905.133;1,428;
BTCI11;FII BTG CRI;CI;99.521.172;0,790;
BTLG11;FII BTLG;CI  ER;43.249.151;3,526;
CPTS11;FII CAPI SEC;CI  ER;317.828.140;2,065;
CLIN11;FII CLAVE IN;CI;4.346.763;0,339;
DEVA11;FII DEVANT;CI;14.044.908;0,407;
VRTA11;FII FATOR VE;CI;15.592.424;1,101;
GTWR11;FII G TOWERS;CI;12.000.000;0,753;
GGRC11;FII GGRCOVEP;CI;105.802.729;0,905;
GARE11;FII GUARDIAN;CI;125.866.045;0,953;
HABT11;FII HABIT II;CI;8.126.783;0,559;
HCTR11;FII HECTARE;CI;22.084.202;0,531;
HGBS11;FII HEDGEBS;CI;12.729.800;2,149;
HGCR11;FII HGCR PAX;CI;15.418.106;1,290;
HGLG11;FII HGLG PAX;CI;33.787.575;4,431;
HGRE11;FII HGRE PAX;CI;11.817.767;1,032;
HGRU11;FII HGRU PAX;CI;28.122.270;2,879;
HTMX11;FII HOTEL MX;CI;1.504.334;0,236;
HSML11;FII HSI MALL;CI;20.808.572;1,516;
HFOF11;FII HTOPFOF3;CI;23.044.389;1,213;
IRDM11;FII IRIDIUM;CI  ER;36.433.827;2,063;
JSAF11;FII JS A FIN;CI;7.752.329;0,592;
JSRE11;FII JS REAL;CI;20.767.328;1,094;
KISU11;FII KILIMA;CI;44.196.050;0,282;
KNRI11;FII KINEA;CI;28.204.047;3,281;
KNHF11;FII KINEA HF;CI;19.663.235;1,478;
KNHY11;FII KINEA HY;CI;28.169.507;2,443;
KNIP11;FII KINEA IP;CI;80.078.186;6,155;
KNCR11;FII KINEA RI;CI  ES;89.151.089;7,757;
KNSC11;FII KINEA SC;CI;188.313.496;1,417;
KFOF11;FII KINEAFOF;CI;7.014.565;0,460;
KORE11;FII KORE;CI;9.625.000;0,777;
MALL11;FII MALLS BP;CI;12.972.967;1,094;
MCCI11;FII MAUA;CI  ER;16.960.024;1,180;
MCHY11;FII MAUA HY;CI  ER;111.598.921;0,786;
MXRF11;FII MAXI REN;CI;437.325.297;3,577;
RBRX11;FII RBR MULT;CI  ER;29.468.659;0,202;
RBRY11;FII RBR PCRI;CI  ER;12.769.512;1,000;
RBRP11;FII RBR PROP;CI;12.179.186;0,521;
RBRF11;FII RBRALPHA;CI  ER;136.807.700;0,762;
RBRR11;FII RBRHGRAD;CI  ER;15.057.201;1,093;
RECR11;FII REC RECE;CI;26.441.650;1,743;
RBVA11;FII RIOB VA;CI;12.485.334;1,063;
RZAK11;FII RIZA AKN;CI  ER;8.807.885;0,584;
RZTR11;FII RIZA TX;CI;18.851.720;1,365;
SARE11;FII SANT REN;CI  EB;92.343.290;0,309;
SPXS11;FII SPX SYN;CI;20.189.040;0,155;
TGAR11;FII TG ATIVO;CI;23.567.968;2,041;
TVRI11;FII TIVIO RI;CI;15.919.690;1,280;
TRXF11;FII TRX REAL;CI;20.035.563;1,722;
URPR11;FII URCA REN;CI;11.733.895;0,686;
VGHF11;FII VALOR HE;CI;164.721.683;1,069;
VGIP11;FII VALORAIP;CI  ER;11.787.247;0,831;
VGIR11;FII VALREIII;CI  ERS;156.096.524;1,250;
CVBI11;FII VBI CRI;CI;11.010.228;0,809;
LVBI11;FII VBI LOG;CI;16.118.565;1,421;
PVBI11;FII VBI PRI;CI;27.130.067;1,873;
VCJR11;FII VECTIS;CI;14.723.970;1,085;
VILG11;FII VINCI LG;CI;14.997.396;1,035;
VINO11;FII VINCI OF;CI;82.826.295;0,355;
VISC11;FII VINCI SC;CI;28.828.640;2,467;
XPCI11;FII XP CRED;CI;8.701.552;0,595;
XPLG11;FII XP LOG;CI;29.613.233;2,423;
XPML11;FII XP MALLS;CI  ER;55.320.191;4,890;
Quantidade Teórica Total;;;3.196.616.784;100,000
Redutor;;;83.559.624,99769908
