UTIL - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;ON      NM;317.101.832;1,144;
ALUP11;ALUPAR;UNT     N2;151.478.409;1,352;
AMBP3;AMBIPAR;ON      NM;41.041.780;1,683;
AURE3;AUREN;ON      NM;291.727.616;0,929;
CMIG3;CEMIG;ON      N1;469.002.659;2,042;
CMIG4;CEMIG;PN      N1;1.858.636.840;6,286;
CSMG3;COPASA;ON      NM;188.462.398;1,278;
CPLE3;COPEL;ON      N2;1.300.330.190;3,545;
CPLE6;COPEL;PNB     N2;1.679.233.590;5,093;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;1,875;
ELET3;ELETROBRAS;ON      N1;1.414.136.040;16,363;
ELET6;ELETROBRAS;PNB     N1;192.206.575;2,480;
ENGI11;ENERGISA;UNT     N2;326.175.300;4,352;
ENEV3;ENEVA;ON      NM;1.579.821.370;6,979;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;3,236;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;12,384;
NEOE3;NEOENERGIA;ON      NM;195.036.523;1,153;
ORVR3;ORIZON;ON      NM;46.454.841;0,650;
SBSP3;SABESP;ON      NM;683.508.570;19,074;
SAPR11;SANEPAR;UNT     N2;201.077.484;1,703;
SRNA3;SERENA;ON      NM;425.559.822;1,096;
TAEE11;TAESA;UNT     N2;218.568.234;2,337;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;2,966;
Quantidade Teórica Total;;;13.662.932.993;100,000
Redutor;;;28.588.002,10951368
