ICON - Carteira do Dia 22/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;112.212.186;0,284;
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,290;
ABEV3;AMBEV S/A;ON;4.394.835.131;14,009;
ANIM3;ANIMA;ON      NM;257.040.189;0,159;
ASAI3;ASSAI;ON      NM;1.349.687.675;2,425;
AZZA3;AZZAS 2154;ON      NM;127.330.493;1,294;
BLAU3;BLAU;ON      NM;29.680.739;0,106;
SOJA3;BOA SAFRA;ON      NM;46.233.405;0,135;
AGRO3;BRASILAGRO;ON      NM;63.815.593;0,394;
BRFS3;BRF SA;ON      NM;814.523.002;4,921;
CAML3;CAMIL;ON      NM;94.602.711;0,193;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,914;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,104;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,301;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,642;
CURY3;CURY S/A;ON      NM;133.117.425;0,775;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,248;
CYRE3;CYRELA REALT;ON      NM;264.710.610;1,416;
DASA3;DASA;ON      NM;146.008.342;0,101;
PNVL3;DIMED;ON      NM;71.586.062;0,176;
DIRR3;DIRECIONAL;ON      NM;109.826.474;0,819;
EVEN3;EVEN;ON      NM;194.304.694;0,303;
EZTC3;EZTEC;ON      NM;97.334.950;0,339;
FLRY3;FLEURY;ON      NM;464.420.650;1,726;
GFSA3;GAFISA;ON      NM;89.278.305;0,039;
GRND3;GRENDENE;ON      NM;268.102.086;0,353;
GMAT3;GRUPO MATEUS;ON      NM;462.506.420;0,841;
NTCO3;GRUPO NATURA;ON      NM;849.350.756;3,089;
SBFG3;GRUPO SBF;ON      NM;146.890.376;0,512;
GUAR3;GUARARAPES;ON      NM;81.942.860;0,164;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;4,334;
HYPE3;HYPERA;ON      NM;409.310.634;2,660;
MYPK3;IOCHP-MAXION;ON      NM;130.223.270;0,330;
JALL3;JALLESMACHAD;ON      NM;96.209.287;0,147;
JBSS3;JBS;ON      NM;1.142.696.472;9,891;
JHSF3;JHSF PART;ON      NM;292.921.855;0,326;
LAVV3;LAVVI;ON      NM;73.950.129;0,149;
RENT3;LOCALIZA;ON      NM;977.700.485;10,329;
LREN3;LOJAS RENNER;ON      NM;952.487.418;4,366;
MDIA3;M.DIASBRANCO;ON      NM;66.385.773;0,414;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,849;
MRFG3;MARFRIG;ON      NM;302.019.876;1,105;
MATD3;MATER DEI;ON      NM;105.828.053;0,114;
LEVE3;METAL LEVE;ON      NM;52.865.876;0,400;
BEEF3;MINERVA;ON      NM;261.359.935;0,365;
MTRE3;MITRE REALTY;ON      NM;57.185.919;0,052;
MDNE3;MOURA DUBEUX;ON      NM;53.382.259;0,200;
MOVI3;MOVIDA;ON      NM;121.834.637;0,177;
MRVE3;MRV;ON      NM;375.335.828;0,668;
ODPV3;ODONTOPREV;ON      NM;255.316.327;0,673;
ONCO3;ONCOCLINICAS;ON      NM;564.287.788;0,676;
PCAR3;P.ACUCAR-CBD;ON      NM;379.327.171;0,296;
PGMN3;PAGUE MENOS;ON      NM;180.312.899;0,128;
PETZ3;PETZ;ON      NM;307.729.428;0,374;
PLPL3;PLANOEPLANO;ON      NM;54.711.991;0,190;
QUAL3;QUALICORP;ON      NM;278.467.312;0,152;
LJQQ3;QUERO-QUERO;ON      NM;187.622.963;0,134;
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;8,057;
RDOR3;REDE D OR;ON      NM;1.145.289.019;8,423;
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,922;
SEER3;SER EDUCA;ON      NM;52.255.107;0,074;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,834;
SMFT3;SMART FIT;ON      NM;322.604.918;1,723;
TEND3;TENDA;ON      NM;121.480.372;0,436;
TRIS3;TRISUL;ON      NM;71.495.901;0,094;
VAMO3;VAMOS;ON      NM;485.166.826;0,729;
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,808;
VVEO3;VIVEO;ON      NM;181.026.390;0,087;
VULC3;VULCABRAS;ON  ED  NM;96.358.247;0,398;
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,757;
ZAMP3;ZAMP S.A.;ON;139.256.770;0,087;
Quantidade Teórica Total;;;31.421.682.766;100,000
Redutor;;;144.048.254,34612941
