Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ABBV34,ABBVIE,DRN ED,282.615.040,"0,920"
ADBE34,ADOBE INC,DRN,221.700.000,"0,615"
A1AP34,ADVANCE AUTO,DRN,9.539.568,"0,007"
A1MD34,ADVANCED MIC,DRN,129.478.560,"0,718"
AIRB34,AIRBNB,DRN,88.000.420,"0,169"
A1LB34,ALBEMARLE CO,DRN,28.207.968,"0,031"
BABA34,ALIBABAGR,DRN,677.092.080,"0,683"
GOGL34,ALPHABET,DRN A,703.080.000,"2,690"
GOGL35,ALPHABET,DRN C,670.200.000,"2,593"
AMZO34,AMAZON,DRN,2.099.113.376,"5,542"
AALL34,AMERICAN AIR,DRN,6.535.406,"0,024"
AXPB34,AMERICAN EXP,DRN,7.170.000,"0,054"
T1OW34,AMERICAN TOW,DRN,112.099.608,"0,290"
AAPL34,APPLE,DRN,3.040.828.000,"10,045"
A1MT34,APPLIED MATE,DRN,82.797.480,"0,428"
ARMT34,ARCELOR,DRN,17.056.196,"0,057"
A1NE34,ARISTA NETWO,DRN,12.566.116,"0,357"
ASML34,ASML HOLD,DRN,219.771.530,"0,796"
A1ZN34,ASTRAZENECA,DRN,186.033.240,"0,671"
ATTB34,ATT INC,DRN,71.980.000,"0,146"
BIDU34,BAIDU INC,DRN,39.907.686,"0,073"
B1SA34,BANCO SANTAN,DRN,9.422.306,"0,027"
C2OL34,BANCOLOMBIA,DRN,4.521.224,"0,011"
BOAC34,BANK AMERICA,DRN,310.383.080,"0,909"
BERK34,BERKSHIRE,DRN,21.570.000,"0,140"
B2YN34,BEYOND MEAT,DRN,13.007.678,"0,001"
B1IL34,BILIBILI INC,DRN,16.877.315,"0,019"
B2HI34,BILL HOLD,DRN,191.047.320,"0,017"
B1NT34,BIONTECH SE,DRN,38.036.112,"0,074"
BLAK34,BLACKROCK,DRN,97.764.810,"0,415"
S2QU34,BLOCK INC.,DRN,138.808.500,"0,115"
BKNG34,BOOKING,DRN,58.667.682,"0,410"
B1PP34,BP PLC,DRN,109.573.280,"0,242"
B1TI34,BRITISH AMER,DRN,110.832.550,"0,213"
AVGO34,BROADCOM INC,DRN,3.258.418.800,"2,339"
CATP34,CATERPILLAR,DRN ED,77.583.698,"0,532"
CHCM34,CHARTER COMM,DRN,85.644.720,"0,126"
CHVX34,CHEVRON,DRN,182.891.711,"0,774"
CSCO34,CISCO,DRN,201.440.750,"0,638"
CTGP34,CITIGROUP,DRN,114.467.700,"0,331"
