Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ALOS3,ALLOS,ON  ED  NM,2.915.145.373,"3,019"
ABEV3,AMBEV S/A,ON,6.861.259.002,"4,063"
AURE3,AUREN,ON      NM,8.583.330.205,"4,065"
BBSE3,BBSEGURIDADE,ON      NM,2.880.373.393,"4,514"
BRAP4,BRADESPAR,PN      N1,4.057.037.201,"3,558"
BBAS3,BRASIL,ON      NM,3.082.912.555,"3,788"
CXSE3,CAIXA SEGURI,ON      NM,4.813.252.463,"3,175"
CCRO3,CCR SA,ON      NM,5.296.201.819,"3,009"
CPLE6,COPEL,PNB     N2,7.530.877.260,"3,473"
CPFE3,CPFL ENERGIA,ON      NM,2.705.187.098,"4,083"
ENGI11,ENERGISA,UNT     N2,1.416.832.711,"2,863"
ENEV3,ENEVA,ON      NM,4.840.599.805,"3,184"
EGIE3,ENGIE BRASIL,ON      NM,2.197.710.373,"4,205"
EQTL3,EQUATORIAL,ON      NM,2.140.313.345,"3,220"
FLRY3,FLEURY,ON      NM,4.773.498.253,"3,296"
GOAU4,GERDAU MET,PN      N1,6.629.633.443,"3,161"
IGTI11,IGUATEMI S.A,UNT     N1,2.942.532.915,"2,919"
ITSA4,ITAUSA,PN      N1,8.467.851.433,"4,151"
ITUB4,ITAUUNIBANCO,PN      N1,2.414.678.557,"3,912"
KLBN11,KLABIN S/A,UNT     N2,3.846.791.977,"3,681"
RADL3,RAIADROGASIL,ON      NM,2.389.854.482,"2,795"
SANB11,SANTANDER BR,UNT EDJ,2.455.864.956,"3,230"
SLCE3,SLC AGRICOLA,ON      NM,4.028.081.038,"3,213"
TAEE11,TAESA,UNT     N2,3.600.559.095,"5,769"
VIVT3,TELEF BRASIL,ON,1.440.971.359,"3,622"
TIMS3,TIM,ON      NM,3.867.088.211,"3,108"
TRPL4,TRAN PAULIST,PN      N1,2.901.303.416,"3,288"
VALE3,VALE,ON      NM,1.305.502.579,"3,636"
