IBSD - Carteira do Dia 22/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
BBSE3;BBSEGURIDADE;ON      NM;1.281.048.661;5,193;
BBDC4;BRADESCO;PN      N1;2.725.980.827;4,974;
BRAP4;BRADESPAR;PN      N1;2.057.127.138;4,667;
BBAS3;BRASIL;ON      NM;1.690.669.429;5,374;
CXSE3;CAIXA SEGURI;ON      NM;1.432.141.213;2,444;
CMIG4;CEMIG;PN      N1;4.124.940.650;5,477;
CPLE6;COPEL;PNB     N2;3.643.889.687;4,347;
CPFE3;CPFL ENERGIA;ON      NM;1.295.112.898;5,057;
CMIN3;CSNMINERACAO;ON      N2;6.029.964.200;4,321;
EGIE3;ENGIE BRASIL;ON      NM;975.224.596;4,827;
GGBR4;GERDAU;PN      N1;2.031.115.089;4,448;
GOAU4;GERDAU MET;PN      N1;3.843.422.435;4,741;
ITSA4;ITAUSA;PN      N1;3.941.963.776;4,999;
PETR4;PETROBRAS;PN      N2;1.002.589.741;4,340;
SANB11;SANTANDER BR;UNT EDJ;1.384.234.769;4,709;
CSNA3;SID NACIONAL;ON;3.255.367.310;4,540;
TAEE11;TAESA;UNT     N2;1.352.727.556;5,607;
VIVT3;TELEF BRASIL;ON;850.871.836;5,532;
TRPL4;TRAN PAULIST;PN      N1;1.922.641.829;5,637;
VALE3;VALE;ON      NM;647.502.956;4,665;
VBBR3;VIBRA;ON      NM;1.513.626.232;4,101;
Quantidade Teórica Total;;;47.002.162.828;100,000
Redutor;;;520.514.283,01547854
