Código,Ação,Tipo,Qtde. Teórica,Part. (%)
AESB3,AES BRASIL,ON      NM,18.7,"6,712"
ALUP11,ALUPAR,UNT     N2,6.9,"6,118"
AURE3,AUREN,ON      NM,18.7,"5,846"
CMIG4,CEMIG,PN      N1,18.7,"6,337"
COCE5,COELCE,PNA,6.8,"5,592"
CPLE6,COPEL,PNB     N2,20.6,"6,271"
CPFE3,CPFL ENERGIA,ON      NM,6.5,"6,477"
ELET3,ELETROBRAS,ON      N1,5.1,"5,933"
ENGI11,ENERGISA,UNT     N2,4.5,"6,002"
ENEV3,ENEVA,ON      NM,15.7,"6,817"
EGIE3,ENGIE BRASIL,ON      NM,4.8,"6,063"
EQTL3,EQUATORIAL,ON      NM,6.2,"6,157"
NEOE3,NEOENERGIA,ON      NM,10.8,"6,348"
SRNA3,SERENA,ON      NM,25.2,"6,442"
TAEE11,TAESA,UNT     N2,6.1,"6,452"
TRPL4,TRAN PAULIST,PN      N1,8.6,"6,433"
