Código,Ação,Tipo,Qtde. Teórica,Part. (%)
CACR11,CARTESIA FII,CI,4.836.324,"0,412"
AFHI11,FII AFHI CRI,CI  ER,4.555.618,"0,362"
ALZR11,FII ALIANZA,CI  ER,12.226.625,"1,057"
BRCR11,FII BC FUND,CI,26.638.202,"1,009"
BRCO11,FII BRESCO,CI,15.905.133,"1,433"
BTCI11,FII BTG CRI,CI,99.521.172,"0,798"
BTLG11,FII BTLG,CI  ER,43.249.151,"3,547"
CPTS11,FII CAPI SEC,CI  ER,317.828.140,"2,096"
CLIN11,FII CLAVE IN,CI,4.346.763,"0,335"
DEVA11,FII DEVANT,CI,14.044.908,"0,407"
VRTA11,FII FATOR VE,CI,15.592.424,"1,102"
GTWR11,FII G TOWERS,CI,12.000.000,"0,755"
GGRC11,FII GGRCOVEP,CI,105.802.729,"0,906"
GARE11,FII GUARDIAN,CI,125.866.045,"0,948"
HABT11,FII HABIT II,CI,8.126.783,"0,562"
HCTR11,FII HECTARE,CI,22.084.202,"0,523"
HGBS11,FII HEDGEBS,CI,12.729.800,"2,154"
HGCR11,FII HGCR PAX,CI,15.418.106,"1,297"
HGLG11,FII HGLG PAX,CI,33.787.575,"4,423"
HGRE11,FII HGRE PAX,CI,11.817.767,"1,036"
HGRU11,FII HGRU PAX,CI,28.122.270,"2,848"
HTMX11,FII HOTEL MX,CI,1.504.334,"0,236"
HSML11,FII HSI MALL,CI,20.808.572,"1,520"
HFOF11,FII HTOPFOF3,CI,23.044.389,"1,221"
IRDM11,FII IRIDIUM,CI,36.433.827,"2,054"
JSAF11,FII JS A FIN,CI,7.752.329,"0,593"
JSRE11,FII JS REAL,CI,20.767.328,"1,077"
KISU11,FII KILIMA,CI,44.196.050,"0,280"
KNRI11,FII KINEA,CI,28.204.047,"3,288"
KNHF11,FII KINEA HF,CI,19.663.235,"1,475"
KNHY11,FII KINEA HY,CI,28.169.507,"2,445"
KNIP11,FII KINEA IP,CI,80.078.186,"6,150"
KNCR11,FII KINEA RI,CI  ES,89.151.089,"7,793"
KNSC11,FII KINEA SC,CI,188.313.496,"1,419"
KFOF11,FII KINEAFOF,CI,7.014.565,"0,456"
KORE11,FII KORE,CI,9.625.000,"0,745"
MALL11,FII MALLS BP,CI,12.972.967,"1,099"
MCCI11,FII MAUA,CI  ER,16.960.024,"1,180"
MCHY11,FII MAUA HY,CI  ER,111.598.921,"0,796"
MXRF11,FII MAXI REN,CI,437.325.297,"3,575"
RBRX11,FII RBR MULT,CI  ER,29.468.659,"0,202"
RBRY11,FII RBR PCRI,CI,12.769.512,"1,017"
RBRP11,FII RBR PROP,CI,12.179.186,"0,520"
RBRF11,FII RBRALPHA,CI,136.807.700,"0,789"
RBRR11,FII RBRHGRAD,CI,15.057.201,"1,092"
RECR11,FII REC RECE,CI,26.441.650,"1,741"
RBVA11,FII RIOB VA,CI,12.485.334,"1,056"
RZAK11,FII RIZA AKN,CI  ER,8.807.885,"0,588"
RZTR11,FII RIZA TX,CI,18.851.720,"1,366"
SARE11,FII SANT REN,CI  EB,92.343.290,"0,306"
SPXS11,FII SPX SYN,CI,20.189.040,"0,153"
TGAR11,FII TG ATIVO,CI,23.567.968,"2,025"
TVRI11,FII TIVIO RI,CI,15.919.690,"1,266"
TRXF11,FII TRX REAL,CI,20.035.563,"1,724"
URPR11,FII URCA REN,CI,11.733.895,"0,678"
VGHF11,FII VALOR HE,CI,164.721.683,"1,071"
VGIP11,FII VALORAIP,CI  ER,11.787.247,"0,836"
VGIR11,FII VALREIII,CI  ERS,156.096.524,"1,264"
CVBI11,FII VBI CRI,CI,11.010.228,"0,801"
LVBI11,FII VBI LOG,CI,16.118.565,"1,410"
PVBI11,FII VBI PRI,CI,27.130.067,"1,860"
VCJR11,FII VECTIS,CI,14.723.970,"1,063"
VILG11,FII VINCI LG,CI,14.997.396,"1,046"
VINO11,FII VINCI OF,CI,82.826.295,"0,349"
VISC11,FII VINCI SC,CI,28.828.640,"2,473"
XPCI11,FII XP CRED,CI,8.701.552,"0,592"
XPLG11,FII XP LOG,CI,29.613.233,"2,411"
XPML11,FII XP MALLS,CI  ER,55.320.191,"4,889"
