IFIX - Carteira do Dia 22/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;4.836.324;0,358;
BPFF11;FII ABSOLUTO;CI;4.492.326;0,210;
AFHI11;FII AFHI CRI;CI  ER;4.555.618;0,315;
AJFI11;FII AJ MALLS;CI;31.625.978;0,171;
ALZR11;FII ALIANZA;CI  ER;12.226.625;0,919;
RZAT11;FII ARCTIUM;CI  ER;3.708.168;0,251;
FATN11;FII ATHENA I;CI;3.432.267;0,225;
ARRI11;FII ATRIO;CI;18.766.809;0,117;
AIEC11;FII AUTONOMY;CI;4.824.987;0,167;
BARI11;FII BARIGUI;CI;4.634.191;0,249;
BRCR11;FII BC FUND;CI;26.638.202;0,877;
BCIA11;FII BCIA;CI;3.719.038;0,245;
BCRI11;FII BEES CRI;CI;6.257.873;0,291;
BLMG11;FII BLUE LOG;CI;4.268.807;0,109;
BRCO11;FII BRESCO;CI;15.905.133;1,246;
BROF11;FII BROF;CI  ER;11.610.812;0,391;
BTAL11;FII BTG AGRO;CI  ER;5.982.736;0,313;
BTCI11;FII BTG CRI;CI;99.521.172;0,694;
BPML11;FII BTG SHOP;CI  ER;7.441.745;0,433;
BTRA11;FII BTG TAGR;CI;3.364.559;0,095;
BTLG11;FII BTLG;CI  ER;43.249.151;3,084;
CPTS11;FII CAPI SEC;CI  ER;317.828.140;1,822;
CLIN11;FII CLAVE IN;CI;4.346.763;0,291;
CPSH11;FII CPSH;CI  ER;63.876.200;0,466;
CYCR11;FII CYRELA;CI;16.315.840;0,105;
DEVA11;FII DEVANT;CI;14.044.908;0,354;
VRTA11;FII FATOR VE;CI;15.592.424;0,958;
GTWR11;FII G TOWERS;CI;12.000.000;0,656;
GZIT11;FII GAZIT;CI;21.841.231;0,747;
GGRC11;FII GGRCOVEP;CI;105.802.729;0,788;
GARE11;FII GUARDIAN;CI;125.866.045;0,825;
HABT11;FII HABIT II;CI;8.126.783;0,488;
HCTR11;FII HECTARE;CI;22.084.202;0,454;
HGBS11;FII HEDGEBS;CI;12.729.800;1,873;
HGCR11;FII HGCR PAX;CI;15.418.106;1,127;
HGFF11;FII HGFF PAX;CI;2.863.597;0,159;
HGLG11;FII HGLG PAX;CI;33.787.575;3,846;
HGPO11;FII HGPO PAX;CI;1.753.057;0,389;
HGRE11;FII HGRE PAX;CI;11.817.767;0,901;
HGRU11;FII HGRU PAX;CI;28.122.270;2,477;
HTMX11;FII HOTEL MX;CI;1.504.334;0,205;
HSAF11;FII HSI CRI;CI;2.526.360;0,147;
HSLG11;FII HSI LOG;CI;12.660.067;0,753;
HSML11;FII HSI MALL;CI;20.808.572;1,322;
HFOF11;FII HTOPFOF3;CI;23.044.389;1,062;
INLG11;FII INTER LG;CI;3.529.735;0,208;
IRDM11;FII IRIDIUM;CI;36.433.827;1,786;
JSAF11;FII JS A FIN;CI;7.752.329;0,515;
JSRE11;FII JS REAL;CI;20.767.328;0,936;
KISU11;FII KILIMA;CI;44.196.050;0,243;
KNRI11;FII KINEA;CI;28.204.047;2,858;
KCRE11;FII KINEA CR;CI;36.000.000;0,236;
KNHF11;FII KINEA HF;CI;19.663.235;1,283;
KNHY11;FII KINEA HY;CI;28.169.507;2,126;
KNIP11;FII KINEA IP;CI;80.078.186;5,347;
KNCR11;FII KINEA RI;CI  ES;89.151.089;6,776;
KNSC11;FII KINEA SC;CI;188.313.496;1,234;
KNUQ11;FII KINEA UN;CI;15.312.517;1,153;
KFOF11;FII KINEAFOF;CI;7.014.565;0,397;
KIVO11;FII KIVO;CI;2.222.736;0,114;
KORE11;FII KORE;CI;9.625.000;0,647;
MALL11;FII MALLS BP;CI;12.972.967;0,955;
MANA11;FII MANATI;CI;37.536.140;0,238;
MCCI11;FII MAUA;CI  ER;16.960.024;1,026;
MCHY11;FII MAUA HY;CI  ER;111.598.921;0,692;
MXRF11;FII MAXI REN;CI;437.325.297;3,108;
MFII11;FII MERITO I;CI;5.212.395;0,381;
OUJP11;FII OURI JPP;CI;3.252.384;0,187;
PATL11;FII PATLOGIS;CI;4.991.535;0,207;
PORD11;FII POLO CRI;CI;37.283.750;0,224;
RBRL11;FII RBR LOG;CI;6.687.035;0,359;
RBRX11;FII RBR MULT;CI  ER;29.468.659;0,176;
RBRY11;FII RBR PCRI;CI;12.769.512;0,885;
RBRP11;FII RBR PROP;CI;12.179.186;0,452;
RBRF11;FII RBRALPHA;CI;136.807.700;0,685;
RBRR11;FII RBRHGRAD;CI;15.057.201;0,949;
RECR11;FII REC RECE;CI;26.441.650;1,514;
RECT11;FII REC REND;CI;8.543.493;0,186;
RBFF11;FII RIOB FF;CI;3.749.215;0,147;
RCRB11;FII RIOB RC;CI;3.690.695;0,346;
RBVA11;FII RIOB VA;CI;12.485.334;0,918;
RZAK11;FII RIZA AKN;CI  ER;8.807.885;0,511;
RZTR11;FII RIZA TX;CI;18.851.720;1,187;
