Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ABCB4,ABC BRASIL,PN      N2,73.885.763,"0,396"
B3SA3,B3,ON      NM,5.511.401.013,"15,006"
BPAN4,BANCO PAN,PN      N1,304.355.780,"0,697"
BRSR6,BANRISUL,PNB     N1,202.536.440,"0,565"
BBSE3,BBSEGURIDADE,ON      NM,637.332.335,"5,430"
BBDC3,BRADESCO,ON      N1,1.258.154.771,"4,202"
BBDC4,BRADESCO,PN      N1,4.347.995.922,"16,672"
BBAS3,BRASIL,ON      NM,2.842.613.858,"18,989"
BPAC11,BTGP BANCO,UNT     N2,1.287.247.964,"10,579"
CXSE3,CAIXA SEGURI,ON      NM,517.500.000,"1,856"
CLSA3,CLEARSALE,ON      NM,55.609.742,"0,131"
IRBR3,IRBBRASIL RE,ON      NM,81.838.243,"0,872"
ITUB3,ITAUUNIBANCO,ON      N1,180.193.373,"1,370"
ITUB4,ITAUUNIBANCO,PN      N1,2.144.717.982,"18,891"
PSSA3,PORTO SEGURO,ON      NM,182.560.698,"1,685"
SANB11,SANTANDER BR,UNT EDJ,356.586.730,"2,549"
WIZC3,WIZ CO,ON      NM,75.354.432,"0,110"
