Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ALOS3,ALLOS,ON  ED  NM,404.722.553,"19,576"
CURY3,CURY S/A,ON      NM,133.117.425,"6,725"
CYRE3,CYRELA REALT,ON      NM,264.710.610,"12,282"
DIRR3,DIRECIONAL,ON      NM,109.826.474,"7,108"
EVEN3,EVEN,ON      NM,194.304.694,"2,627"
EZTC3,EZTEC,ON      NM,97.334.950,"2,938"
GFSA3,GAFISA,ON      NM,89.278.305,"0,335"
IGTI11,IGUATEMI S.A,UNT     N1,211.468.849,"9,798"
JHSF3,JHSF PART,ON      NM,292.921.855,"2,829"
LAVV3,LAVVI,ON      NM,73.950.129,"1,290"
LOGG3,LOG COM PROP,ON      NM,51.027.761,"2,415"
MTRE3,MITRE REALTY,ON      NM,57.185.919,"0,452"
MDNE3,MOURA DUBEUX,ON      NM,53.382.259,"1,739"
MRVE3,MRV,ON      NM,375.335.828,"5,794"
MULT3,MULTIPLAN,ON      N2,318.010.631,"17,847"
PLPL3,PLANOEPLANO,ON      NM,54.711.991,"1,649"
TEND3,TENDA,ON      NM,121.480.372,"3,785"
TRIS3,TRISUL,ON      NM,71.495.901,"0,811"
