Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ALPA4,ALPARGATAS,PN      N1,166.460.180,"0,284"
ABEV3,AMBEV S/A,ON,4.394.835.131,"13,688"
ARML3,ARMAC,ON      NM,171.598.756,"0,330"
BRKM5,BRASKEM,PNA     N1,265.388.400,"1,167"
BRFS3,BRF SA,ON      NM,814.523.002,"4,809"
CAML3,CAMIL,ON      NM,94.602.711,"0,189"
CURY3,CURY S/A,ON      NM,133.117.425,"0,757"
CYRE3,CYRELA REALT,ON      NM,264.710.610,"1,383"
DXCO3,DEXCO,ON      NM,301.760.723,"0,594"
DIRR3,DIRECIONAL,ON      NM,109.826.474,"0,800"
EMBR3,EMBRAER,ON      NM,734.632.601,"8,913"
EZTC3,EZTEC,ON      NM,97.334.950,"0,331"
GFSA3,GAFISA,ON      NM,89.278.305,"0,038"
GGBR4,GERDAU,PN      N1,1.242.683.687,"5,532"
GOAU4,GERDAU MET,PN      N1,661.577.619,"1,659"
GRND3,GRENDENE,ON      NM,268.102.086,"0,345"
NTCO3,GRUPO NATURA,ON      NM,849.350.756,"3,019"
INTB3,INTELBRAS,ON      NM,114.286.318,"0,568"
MYPK3,IOCHP-MAXION,ON      NM,130.223.270,"0,322"
RANI3,IRANI,ON      NM,106.179.855,"0,191"
JBSS3,JBS,ON      NM,1.142.696.472,"9,664"
JHSF3,JHSF PART,ON      NM,292.921.855,"0,319"
KEPL3,KEPLER WEBER,ON      NM,176.208.413,"0,397"
KLBN11,KLABIN S/A,UNT     N2,765.785.673,"3,854"
MDIA3,M.DIASBRANCO,ON      NM,66.385.773,"0,405"
POMO4,MARCOPOLO,PN      N2,666.378.439,"1,430"
MRFG3,MARFRIG,ON      NM,302.019.876,"1,079"
LEVE3,METAL LEVE,ON      NM,52.865.876,"0,391"
MILS3,MILLS,ON      NM,172.574.701,"0,441"
BEEF3,MINERVA,ON      NM,261.359.935,"0,356"
MRVE3,MRV,ON      NM,375.335.828,"0,652"
MLAS3,MULTILASER,ON      NM,390.582.824,"0,149"
PLPL3,PLANOEPLANO,ON      NM,54.711.991,"0,186"
POSI3,POSITIVO TEC,ON      NM,72.053.803,"0,107"
RAPT4,RANDON PART,PN      N1,176.650.127,"0,467"
SMTO3,SAO MARTINHO,ON      NM,142.348.116,"0,902"
CSNA3,SID NACIONAL,ON,736.268.400,"2,087"
SUZB3,SUZANO S.A.,ON      NM,630.821.784,"8,617"
TEND3,TENDA,ON      NM,121.480.372,"0,426"
TUPY3,TUPY,ON      NM,143.716.238,"0,812"
UNIP6,UNIPAR,PNB,51.110.394,"0,574"
USIM5,USIMINAS,PNA     N1,515.193.199,"0,784"
VIVA3,VIVARA S.A.,ON      NM,125.823.025,"0,790"
VULC3,VULCABRAS,ON  ED  NM,96.358.247,"0,389"
WEGE3,WEG,ON      NM,1.482.105.837,"19,803"
