Código,Ação,Tipo,Qtde. Teórica,Part. (%)
TTEN3,3TENTOS,ON      NM,112.212.186,"0,406"
ABCB4,ABC BRASIL,PN      N2,73.885.763,"0,560"
AERI3,AERIS,ON      NM,35.461.088,"0,080"
AESB3,AES BRASIL,ON      NM,317.101.832,"1,325"
ALOS3,ALLOS,ON  ED  NM,502.481.592,"3,999"
ALPA4,ALPARGATAS,PN      N1,166.460.180,"0,415"
ALUP11,ALUPAR,UNT     N2,151.478.409,"1,564"
AMBP3,AMBIPAR,ON      NM,41.041.780,"1,983"
ANIM3,ANIMA,ON      NM,257.040.189,"0,227"
ARML3,ARMAC,ON      NM,171.598.756,"0,482"
ASAI3,ASSAI,ON      NM,1.349.687.675,"3,462"
AURE3,AUREN,ON      NM,291.727.616,"1,062"
AZEV4,AZEVEDO,PN,111.789.464,"0,049"
AZUL4,AZUL,PN      N2,328.421.113,"0,696"
AZZA3,AZZAS 2154,ON      NM,127.330.493,"1,847"
BPAN4,BANCO PAN,PN      N1,304.355.780,"0,985"
BRSR6,BANRISUL,PNB     N1,202.536.440,"0,798"
BMOB3,BEMOBI TECH,ON      NM,81.177.018,"0,431"
BLAU3,BLAU,ON      NM,29.680.739,"0,151"
SOJA3,BOA SAFRA,ON      NM,46.233.405,"0,193"
BRAP4,BRADESPAR,PN      N1,250.969.312,"1,692"
AGRO3,BRASILAGRO,ON      NM,63.815.593,"0,562"
BRKM5,BRASKEM,PNA     N1,265.388.400,"1,705"
BRAV3,BRAVA,ON      NM,463.981.130,"2,826"
CAML3,CAMIL,ON      NM,94.602.711,"0,276"
BHIA3,CASAS BAHIA,ON      NM,94.965.690,"0,148"
CBAV3,CBA,ON      NM,204.441.277,"0,419"
CEAB3,CEA MODAS,ON      NM,101.504.341,"0,430"
CLSA3,CLEARSALE,ON      NM,55.609.742,"0,185"
COGN3,COGNA ON,ON      NM,1.872.454.628,"0,917"
CSMG3,COPASA,ON      NM,188.462.398,"1,497"
CURY3,CURY S/A,ON      NM,133.117.425,"1,106"
CVCB3,CVC BRASIL,ON      NM,525.591.097,"0,354"
CYRE3,CYRELA REALT,ON      NM,264.710.610,"2,021"
DASA3,DASA,ON      NM,146.008.342,"0,144"
DXCO3,DEXCO,ON      NM,301.760.723,"0,868"
PNVL3,DIMED,ON      NM,71.586.062,"0,252"
DIRR3,DIRECIONAL,ON      NM,109.826.474,"1,170"
ECOR3,ECORODOVIAS,ON      NM,334.032.615,"0,848"
EVEN3,EVEN,ON      NM,194.304.694,"0,432"
EZTC3,EZTEC,ON      NM,97.334.950,"0,483"
FESA4,FERBASA,PN      N1,160.566.738,"0,436"
FLRY3,FLEURY,ON      NM,464.420.650,"2,465"
FRAS3,FRAS-LE,ON      N1,89.516.233,"0,707"
GFSA3,GAFISA,ON      NM,89.278.305,"0,055"
GOAU4,GERDAU MET,PN      N1,661.577.619,"2,424"
GGPS3,GPS,ON      NM,395.604.037,"2,568"
GRND3,GRENDENE,ON      NM,268.102.086,"0,504"
SBFG3,GRUPO SBF,ON      NM,146.890.376,"0,731"
GUAR3,GUARARAPES,ON      NM,81.942.860,"0,234"
HBSA3,HIDROVIAS,ON      NM,759.856.429,"0,890"
IGTI11,IGUATEMI S.A,UNT     N1,211.468.849,"1,612"
INTB3,INTELBRAS,ON      NM,114.286.318,"0,831"
MYPK3,IOCHP-MAXION,ON      NM,130.223.270,"0,471"
RANI3,IRANI,ON      NM,106.179.855,"0,279"
IRBR3,IRBBRASIL RE,ON      NM,81.838.243,"1,233"
JALL3,JALLESMACHAD,ON      NM,96.209.287,"0,209"
JHSF3,JHSF PART,ON      NM,292.921.855,"0,466"
JSLG3,JSL,ON      NM,63.199.829,"0,175"
KEPL3,KEPLER WEBER,ON      NM,176.208.413,"0,579"
LAVV3,LAVVI,ON      NM,73.950.129,"0,212"
LOGG3,LOG COM PROP,ON      NM,51.027.761,"0,397"
LWSA3,LWSA,ON      NM,420.626.825,"0,677"
MDIA3,M.DIASBRANCO,ON      NM,66.385.773,"0,592"
MGLU3,MAGAZ LUIZA,ON      NM,353.448.195,"1,213"
POMO4,MARCOPOLO,PN      N2,666.378.439,"2,090"
MRFG3,MARFRIG,ON      NM,302.019.876,"1,577"
CASH3,MELIUZ,ON      NM,65.523.721,"0,080"
LEVE3,METAL LEVE,ON      NM,52.865.876,"0,571"
MILS3,MILLS,ON      NM,172.574.701,"0,644"
BEEF3,MINERVA,ON      NM,261.359.935,"0,521"
MTRE3,MITRE REALTY,ON      NM,57.185.919,"0,074"
MDNE3,MOURA DUBEUX,ON      NM,53.382.259,"0,286"
MOVI3,MOVIDA,ON      NM,121.834.637,"0,254"
MRVE3,MRV,ON      NM,375.335.828,"0,953"
MLAS3,MULTILASER,ON      NM,390.582.824,"0,218"
OPCT3,OCEANPACT,ON      NM,126.724.185,"0,295"
ODPV3,ODONTOPREV,ON      NM,255.316.327,"0,961"
ONCO3,ONCOCLINICAS,ON      NM,564.287.788,"0,965"
ORVR3,ORIZON,ON      NM,46.454.841,"0,764"
PCAR3,P.ACUCAR-CBD,ON      NM,379.327.171,"0,422"
PGMN3,PAGUE MENOS,ON      NM,180.312.899,"0,182"
RECV3,PETRORECSA,ON      NM,275.699.226,"1,682"
PETZ3,PETZ,ON      NM,307.729.428,"0,534"
PLPL3,PLANOEPLANO,ON      NM,54.711.991,"0,271"
PTBL3,PORTOBELLO,ON      NM,54.637.350,"0,089"
POSI3,POSITIVO TEC,ON      NM,72.053.803,"0,156"
QUAL3,QUALICORP,ON      NM,278.467.312,"0,217"
LJQQ3,QUERO-QUERO,ON      NM,187.622.963,"0,191"
RAPT4,RANDON PART,PN      N1,176.650.127,"0,682"
RCSL3,RECRUSUL,ON,1.471.967,"0,002"
ROMI3,ROMI,ON      NM,49.874.210,"0,187"
SAPR11,SANEPAR,UNT     N2,201.077.484,"1,951"
STBP3,SANTOS BRP,ON  ER  NM,855.712.622,"3,928"
SMTO3,SAO MARTINHO,ON      NM,142.348.116,"1,317"
SEER3,SER EDUCA,ON      NM,52.255.107,"0,106"
SRNA3,SERENA,ON      NM,425.559.822,"1,267"
SIMH3,SIMPAR,ON      NM,227.030.128,"0,415"
SLCE3,SLC AGRICOLA,ON      NM,194.261.422,"1,191"
SMFT3,SMART FIT,ON      NM,322.604.918,"2,461"
TAEE11,TAESA,UNT     N2,218.568.234,"2,691"
TASA4,TAURUS ARMAS,PN      N2,67.744.291,"0,240"
TGMA3,TEGMA,ON      NM,32.001.379,"0,310"
TEND3,TENDA,ON      NM,121.480.372,"0,623"
TRIS3,TRISUL,ON      NM,71.495.901,"0,133"
TUPY3,TUPY,ON      NM,143.716.238,"1,187"
UNIP6,UNIPAR,PNB,51.110.394,"0,839"
USIM3,USIMINAS,ON      N1,161.021.803,"0,348"
USIM5,USIMINAS,PNA     N1,515.193.199,"1,146"
VLID3,VALID,ON      NM,77.695.217,"0,623"
VAMO3,VAMOS,ON      NM,485.166.826,"1,041"
VIVA3,VIVARA S.A.,ON      NM,125.823.025,"1,154"
VVEO3,VIVEO,ON      NM,181.026.390,"0,124"
VULC3,VULCABRAS,ON  ED  NM,96.358.247,"0,569"
PORT3,WILSON SONS,ON  ED  NM,191.524.900,"1,097"
WIZC3,WIZ CO,ON      NM,75.354.432,"0,157"
YDUQ3,YDUQS PART,ON      NM,290.010.465,"1,080"
ZAMP3,ZAMP S.A.,ON,139.256.770,"0,124"
