UTIL - Carteira do Dia 22/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
AESB3;AES BRASIL;ON      NM;317.101.832;1,138;
ALUP11;ALUPAR;UNT     N2;151.478.409;1,343;
AMBP3;AMBIPAR;ON      NM;41.041.780;1,704;
AURE3;AUREN;ON      NM;291.727.616;0,912;
CMIG3;CEMIG;ON      N1;469.002.659;2,038;
CMIG4;CEMIG;PN      N1;1.858.636.840;6,297;
CSMG3;COPASA;ON      NM;188.462.398;1,286;
CPLE3;COPEL;ON      N2;1.300.330.190;3,554;
CPLE6;COPEL;PNB     N2;1.679.233.590;5,111;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;1,870;
ELET3;ELETROBRAS;ON      N1;1.414.136.040;16,451;
ELET6;ELETROBRAS;PNB     N1;192.206.575;2,476;
ENGI11;ENERGISA;UNT     N2;326.175.300;4,350;
ENEV3;ENEVA;ON      NM;1.579.821.370;6,859;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;3,224;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;12,359;
NEOE3;NEOENERGIA;ON      NM;195.036.523;1,146;
ORVR3;ORIZON;ON      NM;46.454.841;0,656;
SBSP3;SABESP;ON      NM;683.508.570;19,189;
SAPR11;SANEPAR;UNT     N2;201.077.484;1,676;
SRNA3;SERENA;ON      NM;425.559.822;1,088;
TAEE11;TAESA;UNT     N2;218.568.234;2,312;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;2,961;
Quantidade Teórica Total;;;13.662.932.993;100,000
Redutor;;;28.588.002,10951368
