Mercado1,Cancelamento de Ofertas,Cancelamento de Ofertas,Pré-Abertura,Pré-Abertura,Negociação,Negociação,Call de Fechamento,Call de Fechamento,After-Market3 - Cancelamento de Ofertas4,After-Market3 - Cancelamento de Ofertas4,After-Market3 - Negociação,After-Market3 - Negociação,Cancelamento de Ofertas4,Cancelamento de Ofertas4
,Início,Fim,Início,Fim,Início,Fim,Início,Fim,Início,Fim,Início,Fim,Início,Fim
Mercado a vista,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:00,18:25,18:45,–,–,–,–
Fracionário,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:00,18:25,18:45,–,–,–,–
Mercado a termo,–,–,–,–,10:00,18:25,–,–,–,–,–,–,–,–
Mercado de opções2,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:15,18:25,18:45,–,–,–,–
BOVESPA Mais – Todos os ativos,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:00,18:25,18:45,–,–,–,–
BDRs Não Patrocinados,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:05,18:25,18:45,–,–,–,–
BDRs Patrocinados,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:00,18:25,18:45,–,–,–,–
Fundos de Investimentos,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:00,18:25,18:45,–,–,–,–
ETFs de renda variável,09:30,09:45,09:45,10:05,10:05,17:55,17:55,18:15,18:25,18:45,–,–,–,–
ETFs de renda fixa,09:30,09:45,09:45,10:00,10:00,16:55,16:55,17:15,17:25,17:30,17:30,18:00,18:25,18:45
Mercado de balcão organizado –Todos os ativos,09:30,09:45,09:45,10:00,10:00,17:55,17:55,18:00,18:25,18:45,–,–,–,–
Opções sobre índice de ações,09:30,09:45,09:45,10:00,10:00,17:50,17:50,18:15,18:25,18:45,–,–,–,–
