codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
0HBV;;;;;;
0HQR;;;;;;
0LDP;;;;;;
2GAV;;;;;;
5VRT;;;;;;
9ESP;;;;;;
9VRT;;;;;;
AACL;;;;;;
AAIP;;;;;;
AALM;;;08.213.823/0001-07;"Exploração. prospecção. industrialização e comercialização de minério de qualquer natureza; importação e exportação de bens e produtos ligados à atividade principal; exploração de jazidas.";Materiais Básicos / Mineração / Minerais Metálicos;ITAU CORRETORA DEBENTURES
AALR;;AALR3;28/10/2016;42.771.949/0001-35;Prestação de serviços de medicina diagnóstica;ITAU CORRETORA ACOES
AANF;;;;;;
AARJ;AQUARIO;;19.624.745/0001-50;;;
AASN;;;;;;
AATA;;;07.909.776/0001-78;;;
ABAP;;;15.255.561/0001-09;;;
ABCB;;ABCB4;25/07/2007;28.195.667/0001-06;O Banco tem por objeto a prática de operações ativas. passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil.;ITAU CORRETORA ACOES
ABCC;;;;;;
ABEV;AMBEV S/A;ABEV3;11/11/2013;07.526.557/0001-00;Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.;BRADESCO
ABFR;;;43.545.284/0001-04;;;
ABGD;;ABGD39;;;;
ABMX;;;07.121.351/0001-08;;;
ABPA;;;;;;
ABPR;;;18.546.405/0001-95;;;
ABPS;;;;;;
ABRL;;;44.597.052/0001-62;;;
ABSP;;;;;;
ACEC;ACECOTI;;43.209.436/0001-06;;;
ACEL;;;;;;
ACEN;;;;;;
ACES;;;33.390.170/0001-89;;;
ACGU;;;47.080.619/0001-17;;;
ACHE;ACHELABORAT;;60.659.463/0029-92;;;
ACMB;CAMBORIUSPE;;23.397.533/0001-54;;;
ACOV;;;07.636.657/0001-99;Industrialização. comercialização. inclusive importação e exportação de produtos siderúrgicos. em especial aço e ferro gusa em todas as suas formas e seus subprodutos.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
ACPE;;;;;;
ACQO;;;31.446.280/0001-90;;;
ACRC;;;;;;
ADAG;;;07.903.169/0001-09;;;
ADGE;;;;;;
ADMA;ADAMI;;83.054.478/0001-21;;;
AEAB;;;;;;
AEAM;;;42.548.035/0001-00;;;
AEDU;;;;;;
AEEP;;;24.624.551/0001-94;Holdings de instituições não-financeiras.;Não Classificados / Não Classificados / Não Classificado;EMPRESA
AEGE;;;15.385.166/0001-40;;;
AEGP;;;08.827.501/0001-58;Participação e administração de investimentos como sócia ou acionista. atividades de tratamento de água e esgoto e limpeza urbana e outras atividades relacionadas a saneamento básico;Não Classificados / Não Classificados / Não Classificado;EMPRESA
AENB;;;;;;
AENE;;;;;;
AENR;;;;;;
AERE;;;;;;
AERI;AERIS;AERI3;11/11/2020;12.528.708/0001-07;Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.;ITAU CORRETORA ACOES
AERN;;;;;;
AERS;;;;;;
